Concept Index,Concept Name,Description,Human Label,Machine Label
79,webcam on the car dash ,access conference anytime in the car ,Multifunctional hardware,car;driver
80,trash picker ,driver can pick up trash near the car when waiting for the traffic and make the city clean,Multifunctional hardware,car;driver
81,car washer,driver can use the automatically wash machine wash the insideoutside of the car during the driving ,Multifunctional hardware,car;driver
82,dishwasher ,clean the dishes while waiting ,Multifunctional hardware,dishes;clothes
83,ghost with me,an app that tells thriller or ghost story to keep driver awake,Enhance excitement,driver;car
84,verbal diary,takes diary by recording what the driver said,Pursuit of augmented happiness,car;driver
85,car phone combo,a converter that transforms cellphone screen to the incar screen,Multifunctional hardware,driver;car
86,sleep warner,a cap that is attached to a ceiling that prevents driver from falling asleep,Multifunctional hardware,driver;car
87,in car coffee machine,small sized coffee machine that is powered by car,Multifunctional hardware,car;driver
88,snappic,a cellphone stand that is connected to a button that allows driver to take pictures safely,Multifunctional hardware,driver;car
89,no one missing,gives more backup plans for people who take public transportations everyday,No worries,people;condition
90,more than a ride,help people to find partners to share ride everyday,Companionship,people;condition
91,app combo,combines info and preference from various apps,No worries,traffic;gps
92,sing together,an app that not only plays music but also allows people to sing together,Enhance excitement,music
93,microwave in car,microwave power by the car that can able to heat up some food for driver to eat,Pursuit of augmented happiness,car;driver
94,lottery number generator,the generator can choose lottery number for the driver and buy for them so they can potentially be rich while driving,Pursuit of augmented happiness,driver;car
95,home monitor ,driver can see whats happening in their home so they dont have to worry about any unexpected incident ,No worries,driver;car
96,remote controlled dog toys ,driver can remotely throw dog toys to dogs so the driver can feel great so as the dogs,Pursuit of augmented happiness,driver;car
97,air purifier ,driver can smell less polluted air ,Pursuit of augmented happiness,car;driver
98,small plant pots,being surrounded by green plants can make driver feel better ,Pursuit of augmented happiness,driver;car
99,diet planer,diver can get the daily menu with specific health condition,Pursuit of augmented happiness,people;condition
100,car waiter,diverse shelves preparation and cleaning tools provide a complete package for the driver to eat during his drive,Multifunctional hardware,car;driver
