Concept Index,Concept Name,Description,Human Label,Machine Label
58,mini stage,for families with small children to encourage creativity,Visual,leds;fireplace
59,folding party furniture,useful space to store micro folding furniture for hosting,Function,leds;fireplace
60,steam punk radio with remote,gets people in tune with audio more than visual entertainment oldfashioned but hip,Control,leds;fireplace
61,home security system video display,keep tabs on all security cameras at once from central location,Control,leds;fireplace
62,mini speakeasy,secret panel folds out to reveal liquor cabinetminibar,Physical,leds;fireplace
63,scrolling updates,weather news updates on led leader board,Visual,leds;fireplace
64,camping gear storage,compact storage that hearkens back to the concept of fire in a creative way,Function,leds;fireplace
65,lava lamp,fireplaceshaped lava lamp a classic with a twist,Visual,leds;fireplace
66,household battery,wind and solar power charge during the day and need to be stored for the night this is that battery allows household to monitor energy collection and usage,Control,leds;fireplace
67,culinary desiccator,desiccators can be large and not fit in the kitchen this one is customsized for the fireplace promotes healthy diet,Function,leds;fireplace
68,recycling center,containers for ewaste batteries light bulbs sharps etc,Function,leds;fireplace
69,medical center,easy location for neutralizers pill regimens defibrillators,Function,leds;fireplace
70,sand pantry,dark dry storage for potatoes and carrots that keep better packed in sand,Function,leds;fireplace
71,novelty clock,a rubegoldberg style analog clock with whimsical internal mechanisms visible,Visual,leds;fireplace
72,earth model,globe that slowly turns in the light of a sunlamp to show earths position in realtime leds show the cities light up after dark as in real life,Visual,leds;fireplace
73,one year calendar,help people reflect and keep bigpicture perspective,Control,records;year
74,model volcano,leds create realistic eruptions every halfhour absurdist conversation piece helps people reconnect with natural world,Visual,leds;fireplace
75,beehive,beehive set up at mouth of flue honey drips down into collection container in fireplace,Function,leds;fireplace
76,visualizer,displays digital visuals that respond to the volume of conversation in the living room,Control,leds;fireplace
