Concept Index,Concept Name,Description,Human Label,Machine Label
40,cosmo shelves,these shelves have square and rectangle shapes with rounded corners we have to make them easy to mount so that the users can arrange them however thwy want to create a unique art gallery or modern bookshelf,Irregular Bookcase/bookshelf,shelves;bookshelf
41,hanging bookshelf,it is an innovative storage design for books instead of mounting the shelf on the wall the system is designed to hang somewhere in the room,Irregular Bookcase/bookshelf,shelves;bookshelf
42,mounted drawer chest,this is not like the traditional drawer chests that are usually placed on floor this is designed to be mounted on the wall the user can then put stuff under the drawer chest,Irregular Drawer Chest,shelves;bookshelf
43,hanging drawer chest,this is similar to the one above but instead of mounting the drawer chest to the wall it is hung to the ceiling,Moving Drawer Chest,shelves;bookshelf
44,under bed drawer chest,this drawer chest is placed under bed in order to fully utilize space and create more room for students to organize stuff,Irregular Drawer Chest,shelves;bookshelf
45,drawer chest with shelves,this is a combination of a drawer chest and bookshelves and the shelves are placed on the top of the drawer chest,Irregular Drawer Chest,shelves;bookshelf
46,ovetto recycling bin,it features three separate colorcoded compartments to make recycling much more organized,Disposal (Trash Can/Bin),bin
47,solo bin,there is a lid associated with this design the lid balances on top of the bin without hinges so it can open from any side,Disposal (Trash Can/Bin),shelves;bookshelf
48,e bin,it is an electronic recycling bin featuring touchscreen technology that knows when it is full and tells the user where the next nearest ebin is located,Disposal (Trash Can/Bin),shelves;bookshelf
49,solar bin,it uses solar power to operate also it is planned to be made from tough carbon fiber material if possible so it is ideal for indoor and outdoor use,Disposal (Trash Can/Bin),shelves;bookshelf
50,moving trash can bin,it features a builtin powered sweeper that remains hidden within the body of the trashcan until it is pulled out and used to clean the floor when the sweeping is done simply remount it back into its slot on the bin,Disposal (Trash Can/Bin),shelves;bookshelf
51,flexible trash bin,we plan to make it from a single piece of thing metal molded to form the basic contour of a trashcan,Disposal (Trash Can/Bin),bin
52,garbage dump,it is designed for those living in small apartments or homes with limited space such as the college students it allows the users to separate different types of recyclables while taking up very little floor space,Disposal (Trash Can/Bin),shelves;bookshelf
53,trash can that can vacuum,it combines the functionality of a dustbin with that of a vacuum it has a small electrical motor in the bottom of the bin that sucks up dirt filters the dust and tucks it away in the bin,Disposal (Trash Can/Bin),shelves;bookshelf
54,"drawer ""trash""",it is a drawer chest with a trash bin attached to it so the user can organize the drawers by throwing away the trash in the drawers,Disposal (Trash Can/Bin),drawer;user
55,barcode tracker,it is a device that can scan the barcode attached to the object and sense it when the object is near so the users are able to find the item easily,Smart Item Tracker,shelves;bookshelf
56,protect privacy 1,use mechanical lock to lock stuff in the drawers,Irregular Drawer Chest,use;computer
57,protect privacy 2,use password to prevent others to use the computer system,Irregular Drawer Chest,use;computer
58,easy input,use voice keyboard remotecontrol or cellphone app,Smart Item Tracker,use;computer
59,auto motion,use step motor and servo motor to free users hands,Smart Item Tracker,drawer;user
60,auto reminder,use computer system to store and update the location of stuffs,Smart Item Tracker,use;computer
61,colored appearance,use color to help user organize stuff,Smart Item Tracker,use;computer
62,flexible space,user can change the shape of blocks inside the drawers,Moving Drawer Chest,drawer;user
63,different sizes and versions,different sizes and versions available for adults and children,Irregular Drawer Chest,different sizes and versions
64,roller wheels,user roller wheels to easy move the position of the production,Moving Drawer Chest,drawer;user
65,rotational handle,handle can be rotation 360 degrees,Moving Drawer Chest,user;books
66,password protection,have a pin required to access the program,Smart Item Tracker,drawer;user
67,encrypted names pseudonyms,allow users to input any name for an object they desire to place in the drawer store the real name of the object in an encrypted file which needs a password to access if user forgets what name they used for any one object,Smart Item Tracker,drawer;user
68,randomize drawer openings,allow users to set drawers to open randomly once an object is being inserted or removed allows user to hide which drawer exactly holds the object,Moving Drawer Chest,drawer;user
69,"large, simple ui",program in labview with minimal button presses for the default user allow custom names for objects only for advanced users,Smart Item Tracker,drawer;user
70,minimize allowed inputs,reduce the numbers of tasks user may do with the product such as only inserting an object or removing an object intentionally do not allow users to open drawers without using the default software wrappers,Smart Item Tracker,drawer;user
71,haptic feedback,have sensitive touch screen interface that vibrates to indicate succesful input by users with slight physical handicaps seniors,Smart Item Tracker,drawer;user
72,abstract mess elsewhere,encourage user to place their mess out of sight by using drawers more,Smart Item Tracker,drawer;user
73,serve as memory bank,remove need for organization by remembering where objects are stored for user,Smart Item Tracker,drawer;user
74,minimize tabletop space,make drawer system small enough surface area so that user is forced to use the rawer and cant pile things on top of it,Irregular Drawer Chest,drawer;user
75,separate paper holder,have single drawer with built in folder system so user does not stack all papers on top of one another,Irregular Drawer Chest,drawer;user
76,desk locking mechanism,have an optional latch that allows user to attack drawer to bottom of an existing desk or tabletop,Smart Item Tracker,drawer;user
77,language camouflage,give option to allow user to change language of the interface with the push of a few buttons in order to confuse malicious users that attempt to access stored items,Smart Item Tracker,drawer;user
78,writer utensil receptacle,have a small slot designated for inserting pens pencils so they are neatly stacked in one particular drawer and not thrown in haphazardly each time,Others,drawer;user
79,large touchscreen,make the tabletop space of the drawer system the touch screen in its entirity rather than having only a subset of the space be the interface computer,Smart Item Tracker,drawer;user
80,adjustable speeds,allow user to override the speed at which the drawer opens within reason to accommodate people who dislike rotor noise or users who dont care about about noise and simply want a fast opening,Smart Item Tracker,drawer;user
81,re arrangement suggestions,allow users to input size of items as an optional parameter to allow the system to determine which drawer has the most available space and suggest a location for the user,Smart Item Tracker,drawer;user
82,lock and key,create one drawer with a lock or a hiding mechanism that allows users with valuables to store their goods of high importance can have a fake bottom to one drawer for this purpose,Irregular Drawer Chest,drawer;user
83,foot holder,have a small drawer at the base of the system into which a user can place their shoes,Irregular Drawer Chest,drawer;user
