Concept Index,Concept Name,Description,Human Label,Machine Label
29,in store ingredient clustering by meals,by dedicating a small section of a grocery store to clustering together seasonal meal ingredients novice chefs with limited imaginations can learn new things ,How might we get the experiential knowledge of professional chefs into the hands of novice chefs?,ingredients;fruits
30,in store ingredient quantity recommendations,we can place tablets around grocery store that will calculate the amount and desired expiration date of the ingredients ,How might we get the experiential knowledge of professional chefs into the hands of novice chefs?,ingredients;fruits
31,fridge reorganization robot,a small robot that is located in the fridge turns on after a fridge has been stocked and reorganized the ingredients for optimal freshness it also organizes things according to impending expiration,Avoid food waste,fridge reorganization robot
32,local meal prep delivery,a delivery service that connects local farmers butchers and fisherman to create entirely locallysourced meal delivery service similar to blueapron but only local places,How might we get the experiential knowledge of professional chefs into the hands of novice chefs?,ingredients;fruits
33,reheat guru,an application that gives you reheating instructions based on the type and age of the leftovers,Avoid food waste,reheat guru
34,reusable produce protecting pallets,a specialized reusable produce transportation pallets that protect fragile produce from damage during transportation between stores,How to avoid wasting food,packaging;stores
35,food waste powered supermarkets,optimize current wastetoenergy technology to power grocery stores ,Put food waste to use,food;waste
36,portable compost system,a compost bin that is completely contained and designed to travel in cars be used on camping trips and even at festival grounds,Put food waste to use,compost;waste
37,portable food waste energy converter,a portable food waste to energy converter for national parks and other outdoor events,Put food waste to use,food;waste
38,urban harvesting,an application that will alert harvesters to fruit or vegetables growing in backyards or other urban areas harvesters will arrive harvest the produce and take it to local stores or food banks,How to avoid wasting food,ingredients;fruits
39,eco friendly waste tracking kitchen,a smart kitchen that keeps track of the water energy food and plastics then creates tips for reducing waste or reuse it productively,How to put food waste to good use,food;waste
40,food waste to go boxes,it is smart to take home leftovers if you actually eat them otherwise youre wasting food and a togo box if restaurants could turn their food waste into a togo box they could save on the price of boxes since theyre made of food waste the box would start to degrade if left too long encouraging people to eat their leftovers,How to put food waste to good use,food;waste
41,smart tupperware,smart tupperware keeps track of your leftovers and reminds you how much longer you have until the contents go bad,how to avoid wasting food,part;contents
42,self or single serve leafy greens at supermarkets,allow people to bring their own tupperware and get the amount of leafy greens that they actually need reduces packaging waste and food waste from overpurchasing,how to avoid wasting food,food;waste
43,grocery splitter,app that connects you with people near by that want similar foods as you but like you wont eat a whole grocery storesized item,how to avoid wasting food,food;app
44,sell your leftovers,app that connects hungry people with people near by that cooked too much food sell your excess meal and either drop it off or have someone pick it up,how to avoid wasting food,food;app
45,meal garden,custom garden kits to grow your own fresh ingredients for your famorite meals just pick a theme and tell the service how much space you have and let it set up an optimal garden organization scheme and deliver all the plants you need,Learning how to cook efficiently,ingredients;recipes
46,mold classifier,an app that takes a photo of a moldy piece of food and tells you if you can still eat the food and if so how much to remov,how to avoid wasting food,food;app
47,grocery store cooking classes,teach millennial or novice chefs how to cook for themselves at a grocery store so they can also learn where the ingredients are and what they look like at the store,Learning how to cook efficiently,ingredients;fruits
48,ripen detector,a sticker that you put on unripened fruits and vegitables after purchasing them when the sticker changes color its time to put the item into the fridge to maintain its freshness,how to avoid wasting food,ingredients;fruits
49,food odor analysis,a device that tells you the useby date by analyzing the odors of the food,how to avoid wasting food,food;products
50,lcd food date notifier,this arduinodriven lcd will have a list of foods in the fridge they will be ordered by date entered to remind users to use food before it expires,how to avoid wasting food,food;products
51,managing food source output,this website will track food waste between farms and supermarkets to help farmers adjust outputs suggested quantities for the consumer demand of food type will be given per season to reduce unused food,how to avoid wasting food,food;waste
52,bio reactive labels for leftover containers,the labels for the containers will be bioreactive with a change in color when food inside starts to degrade this allows households to more accurately ascertain the freshness of their leftovers so fresh food is not mistakenly thrown away ,how to avoid wasting food,food;waste
53,industrial juicer,damaged but still edible fruit that would have been discarded can be juiced and dehydrated to create juice concentrates this will not be easier than throwing away fruit but should pay for itself in the future,What to do with food that is going to be wasted,compost;waste
54,donated food shelf,shelfs will be installed in commonly frequented public places parks parking lots etc allows for quick convenient drop off of leftover food that can be reused by others shelf would not be used for perishable food,What to do with food that is going to be wasted,food;waste
55,off grid neighborhood fridge,most food waste in lbs year is wasted on the consumer level this community fridge is off grid can store food and will scan personal cards for prizes won when a certain amount of food in lbs is donated  ,What to do with food that is going to be wasted,food;waste
56,waste tracker app,the app will work to track the amount type and price of food that is wasted in a household so households can more intelligently buy and consume food,How to avoid wasting food,food;app
57,portable chemical tester for breakdown products of proteins,the device will test for compounds compounds emitted by rotting food in order to more accurately tell what food has expired and which has not pros small low cost easy to use,What to do with food that is going to be wasted,food;products
58,"food delivering, all terrain vehicle with gps navigation",the device will use gps to pick up food products going to the crash and will drop the food off at foodinsecure households,What to do with food that is going to be wasted,food;products
59,minimizing food waste at restaurants,an app or program will charge extra if people do not finish food at plate for those that do finish they will receive a dollar coupon for the next visit,How to avoid wasting food,food;waste
60,using data science to control food production,the product will collect data from farms and supermarkets via mobile phone apps and will suggest farmers how much of something to grow for each month the suggestion will account for seasonal popularities and average societal consumption rates wrap study support,How to avoid wasting food,food;waste
61,smart compost,the neighborhoodcompost will collect how much weight is donated by a specific person once a ton of food donated is achieved the donater will receive a rebate from a company,What to do with food that is going to be wasted,food;waste
62,exact food portion vending machine,grocery stores tend to sell products in large packaged quantities this device will sit in a grocery store and will sell vegetables and dairy and discounts will accrue from using reusable containers people will pay less for larger quantities product prices will decrease from removing packaging,How to avoid wasting food,food;products
63,modern lazy susan,a modular and stackable organizer will be placed in the fridge to allow easier access to food the system should help visual accounting of any food in the fridge,How to avoid wasting food,food;waste
64,retail store food donation shelf,retail stores approximately contribute to 10 of the food waste in america these shelves would be designed to be air tight and in a cool place instead of throwing food in the trash the store would place them there the emerson act protects the store from lawsuits due to food poisoning shelfs will sit above trashcans and will store food for about 4 days before automatically dropping food in the trash can,How to avoid wasting food,food;waste
65,food reuse website,to target food insecure and homeless individuals this website will have local houses post food items they are about to throw out that is still edible the goal is to avoid using an app since those in need will most likely not have a smartphone consumers would contact and pick up the produce either through direct or indirect means,What to do with food that is going to be wasted,food;waste
66,cook pro,this app is a database of knowledge and techniques around the world that optimizes the life span of a food and presents how to test if food is still edible the app will present topics such as appropriate portion sizes food purchasing skills meal planning using leftovers what is safe to eat food discard behavior and interpreting sellby or useby dates one goal is to remove dependence on expiration sell by dates to reduce food disposalex freezing bread to keep it for long easy to thaw,how to avoid wasting food,food;waste
67,reusable vacuum sealed food containers,to optimize shelf life these reusable packets will minimize oxygen availability to microbes present on food products and will be for fridge storage there will be various sizes each which are meant to represent on meal portion one packet per meal,how to avoid wasting food,food;products
68,low moisture reusable food packaging,the product will use a food dehydrator to store food for shipment or home use enzymes of food decay will be inhibited,how to avoid wasting food,food;products
69,retail store damaged good discount,the product is a promotion targeting an increase in sales of damaged produce the signs will be minimal and visuallyattracting that says something like find a unique apple and get a 25 cent discount if successful farmers may be able ship damaged produce for profit,What to do with food that is going to be wasted,produce;stores
70,first class ticket for foods frequently damaged in transport,the product will use lowcost methods to reduce food spoilage from farmtoretail transportation the device will use heat transfer principles to reduce temperature of the environment and will also reduce moisture in air,how to avoid wasting food,food;products
71,retail tax on foods with high waste rates,the store feature will charge extra on foods that are commonly wasted to encourage better cooking and food usage habits,how to avoid wasting food,ingredients;fruits
72,3rd party facilitating joint business plan for farmers and retail,the plan will connect retailers and suppliers to develop joint business plansÍ to drive their supply chain operations with open and honest sharing of information,how to avoid wasting food,packaging;stores
73,personalizable food basket delivery,this app will have users input their favorite fruits and vegetables then boxes with contents described will be offered to users based on food choice once enough people accept and pay for the box the box will be shipped from the farm to the consumer,What to do with food that is going to be wasted,food;waste
74,ugly produce shelf at retail stores,this product will accentuate the colors and shapes of produce depending on color the shelf will be a pilot to see if people will buy ugly produce at a discounted price ,What to do with food that is going to be wasted,produce;stores
75,nutrishare,this app website will connect people close to each other where one party will be disposing of some uneaten food and the other is in need of a free or discounted meal ,what to do with food that is going to be wasted,food;app
76,comfort shipping,this product will use recycled and light material to prevent brushing and damage to food products during shipment,how to avoid wasting food,food;products
77,freeze it!,this app will have experiment and experience results pertaining to freezing food and when how to thaw before eating the goal is to optimize shelf life of food,how to avoid wasting food,food;app
78,inhibiting decomposition via lemon mist ,microbes on organic matter have significant activity drop in ph values below 6 lemon with a ph of 4 combined with water to create a lemonvapor environment in shipping containers to postpone decomposition,how to avoid wasting food,compost;waste
79,e_menu planner,a smart weekly schedule board that can be used to organize daily menu selection which can also be linked to smart phones iphone android etc in each box people can write their meal name and list all the ingredients needed this way it will prevent people from buying more than needed when food shopping,How to avoid wasting food,food;waste
80,daily fresh product delivery app,the app does fresh product deliveries daily or at shorter intervals to make food shopping more accurate it allows people to choose their desired meal options the portions needed eg for 3 people as well as the exact date for consumption then all the ingredients for the chosen meal will be prepared and delivered to the house according to the date of consumption this app can also scan the emenu planner import the data and deliver all the listed ingredients,How to avoid wasting food,food;waste
81,food bus,the food bus will go around a certain neighborhood and collect unconsumed food products that are still good from households then it will redirect all the donated food products to lowincome community homeless people and retirement home this way people who are aware of food waste problem will actually make a meaningful impact by helping the hungry communities,What to do with food that is going to be wasted,food;waste
82,vermicompost bin,the bin consists of three different sections the top bin will hold the soil and the worms along with the food scraps the middle part will capture the worm casting compost and the bottom bin will collect and store the compost worms are good at recycling food scraps and other organic material into a valuable soil amendment called vermicompost,What to do with food that is going to be wasted,compost;waste
83,diy fruit and vegetable garden,creating a sachet bag filled with certain fruit or vegetable seeds so that people can create their own diy garden by growing out their own ingredient people can just use the ïrightÍ amount of it and the plant will keep the fruit vegetable stay fresh when there are excess vegetables and fruits they can also give it to other people or donate it this way it will create a closedloop food cycle,Making yourself part of the food growing process,ingredients;fruits
84,u market for all,organizing a weekly market that only sells ugly produce products collected from supermarkets with the cheapest price the location should be put near lowincome community or homeless people neighborhood this way all ugly food will be consumed instead of getting wasted,What to do with food that is going to be wasted,food;waste
85,free nom together,freenom together is a weekly event where volunteers collect ugly food produce and cook it into delicious meals for all communities with no charge free each friday 10 volunteers will collect all the ugly food produce from different places on saturday 1520 volunteers will cook the ingredients and serve it to others,What to do with food that is going to be wasted,food;waste
86,weekly volunteering @ sf food bank,weekly activity that will help to feed thousands of families around the bay area volunteers can sort out unconsumed donated food products and sf food bank will deliver them to different communities this is the best way to do meaningful action for those who are aware of food waste issues,Making yourself part of the food growing process,food;waste
87,junk to yumm app,this app connects household with excess unconsumed food with hungry families there will be pickup services to each household and the donated food will be given to hungry families and sf food bank,What to do with food that is going to be wasted,food;app
88,food ed association,people who enroll in this nonprofit association will teach schools administrators volunteers and parents to understand the amount of food wasted in their communities and also educate them different ways to minimize food waste,How to avoid wasting food,food;waste
89,machine learning food detector,accurate machine learning models capable of recoqnizing different food products and detecting their qualities thus by installing it within the fridge it can tell which product is about to go bad and that it should be consumed immediately,How to avoid wasting food,food;products
90,leftover lovers app,this app is inspired from singaporean mostdownloaded app the system will inform all users about about the discounted menu items from nearby restaurants and food stalls before they close,What to do with food that is going to be wasted,food;app
91,food connect app,the app connects supermarket farms and food manifacturers so that they can notify charities regarding surplus food available for donation,What to do with food that is going to be wasted,food;app
92,food track app,restaurants supermarkets and household can use this app to keep track and monitor their food waste allowing them to identify and change sloppy habits to save money on landfill costs ,Track waste,food;app
93,food strategy app,similar to the food track app it can track and monitor food waste however this app can also give suggestions or alternative solutions to reduce waste and save money,Track waste,food;app
94,let's exchange app,this app allows users to post certain food products that people want to get rid of including the quantity location and expiry date then the app will link the post to other users that might be interested in exchanging food products ,What to do with food that is going to be wasted,food;app
95,smart road solution app,most of vegetables and fruits often go bad during the transport process thus this app helps truck drivers to find the most efficient route to the delivery points ,How to avoid wasting food,food;app
96,robot chef,inspired from the uk robotic project to reduce food waste the robotic chef can move pans handle ingredients and create greater precision during food manufacturing at industrial scale,How to avoid wasting food,ingredients;fruits
97,smart reminder camera,detachable cameras for the fridge interior which enable users to observe exactly what food they have left for tonightÍs dinner via the home connect app,How to avoid wasting food,food;app
98,flies solution,the fly larvae are fed organic waste and convert 95 into complex fats and proteins thus these flies will create both animal feed and fertilizer in ña cheap scalable and sustainable manners with multiple applications,What to do with food that is going to be wasted,compost;waste
99,e packaging,innovative packaging system that contains detection sensor to remind users when certain food products should be consumed it can be linked to smart phones or any device physically the packaging will be thin and resealable,How to avoid wasting food,food;products
