Concept Index,Concept Name,Description,Human Label,Machine Label
28,foam bottle,a bottle made out of foam that is easily foldedthe top ring would be mettallic so that a top cap can screw onthe bottom would be a ridgid circle and 2 folded imprinted lines would be on the sides so that there is a logical place for the bottle to fold over when transported,Collapsible,bottle;bag
29,collapsible bottle,this bottle uses tolerancing principles to create a collapsible water bottlethe outside is the largest layer and each inside layer is slightly angledmachined so that it interferes with the layer below it there would need to be some type of locking mechanism in between the layers that the user activates once they pull it all the way up the top layer would be big enough so that the cap can be stored snugly in its circumference ,Collapsible,bottle;twist
30,flat flexible bottle,made out of a thicker yet flexible plastic think beach ball but thicker this would be an easy bottle you could fold up or roll up you would still be able to attach a top with a handle,Collapsible,bottle;bag
31,twist up bottle,similar to the metal collapsible design this design fold down into a stout cylinder the layers would be plastic the layer movement would be dictated along tracks on the interior of the bottom layer in which the top layer would trace along marked by one point there would need to be a locking feature in this design as well one idea is outlined in blue in my rawing,Collapsible,bottle;twist
32,clasp design bottle,this water bottle would come apart into 2 halves to make it easier to clean at their connection they would be sealed similar to shower doors an exterior clamp would then tighten the seal,Collapsible,bottle;water
33,twist bottle,cut up into different sections that screw in to eachother this could allow for different size bottles how many twistable middle sections do you keep and make it easier to clean the interior of the bottle,Collapsible,bottle;bag
34,2 capped design,this design allows a larger twist off opening for iceeasier cleaning and a smaller opening for easier drinking the outer cap could be attached or not attached to the bottle,Personalize,bottle;twist
35,decorating kit,include with the purchase of a water bottle the option of getting quantity stickers from your favorite brands sent to you to decorate your bottle they can be grouped based on company hobbies aesthetic or create your own,Personalize,bottle;water
36,photo sleeves,stick on photo sleeves that would have a little fold at the top to close the sleeve to be water resistant once a photo is put in there ,Personalize,bottle;twist
37,color changing bottle,a water bottle that changes with temperature ,Personalize,bottle;water
38,bouncy bottle,a water bottle that bounces when thrown,Personalize,bottle;water
39,squishy bottle,a rubbery bottle that can squish and feels cool,Personalize,bottle;bag
40,taste caps,exchangable water bottle caps that flavor your water when used  ,Personalize,bottle;water
41,stamp on bottle,a water bottle that has raised drawings that can be used as a stamp,Personalize,bottle;water
42,carabiner 2.0,this is a built in carabiner attached to the brim of the lid of the water bottle allowing for the user to have easier grip,Attachments,bottle;water
43,the water satchel,the water satchel is a handsfree water bottle holding device it straps around the user’s body with a snug stretchy pocket that fits to the user’s water bottle,Attachments,bottle;water
44,glove water bottle gripper,this neoprene sleeve fits snugly on any water bottle and has a slit with pores for your hand this allows for easy portability and good grip,Attachments,bottle;water
45,water bottle lanyard ,this is a lanyard designed for water bottles that users can clip onto the cap of their water bottle and wear around their neck ,Attachments,bottle;water
46,velcro water bottle,this is a velcro design where users will pick one sticky side onto the side of their water bottle and other end on the side of backpack bag other carrying device ,Attachments,bottle;water
47,camelbak 2go,this is attachable smaller version of a camelbak that is designed to be attached to the top of a backpack with a straw that fits through a loop hole on the backpack shoulder,Attachments,bottle;twist
48,suction cup water,this attachment would add a suction cup to the side of the water bottle with another adhesive end to whatever object you want your bottle to stay on easily removable ,Attachments,bottle;water
49,rubber ziptie,this is a rubber sleeve inspired by a ziptie that wraps around your bottle with loopholes that one end of the sleeve fits in and can be adjusted to fit your fingerhand ,Attachments,bottle;bag
50,finger looped bottle,this a rubber sleeve attachment with finger loop hole to easily slide the users hand inout ,Attachments,bottle;bag
51,the water slinky,this design is a water bottle that is stands solid and upright like a normal water bottle when full of water and can be compressed when empty of liquid,Collapsible,bottle;water
52,collapsible reusable bottle,this design is a baglike water bottle that has a stiff lower brim that when full of water stands tall and holds shape when it is empty it collapses,Collapsible,bottle;water
53,easter egg bottle,this is a design inspired by the snapping of a giant plastic easter egg except a bottle would be snapped together and pulled apart when used ,Collapsible,bottle;bag
54,bottle camelbak,this is a water bottle with an inner rubbercamelbak material sack for fluid and outer snappable water bottle keep fluids cold and is compactible when empty ,Collapsible,bottle;water
55,snap togehter bottle,bottle split up into multiple parts that are various shapes and can be attached in different order  they can be attached in different orders ,Collapsible/Personalize,bottle;bag
56,“buildyourownreusablebottle.com” website,this design is a website that allows users to customize their own water bottle from shapesizeshapematerialcolordesign each individual user can create their own bottle,Personalize,bottle;water
57,"""think impact"" reusable water bottles",design of reusable water bottles with customizable bold quotes that resonate with theuser this is meant to push others to consider purchasing and reducing their environmental impact,Personalize,bottle;water
58,water bottle sleeves,a water bottle sleeve that is put on the body of the bottle this serves the dual purpose of keeping fluids cold but also allowing bottle to be plasticcheaper,Personalize,bottle;water
59,kid coozie,stuffed animal sleeve for water bottle designed for kids to use reusable water bottles as theyll more likely use it and less likely lose it ,Personalize,bottle;water
60,"h20 ""squared""",this is a box shaped water bottle that is designed to fit easier in backpacks which have more rectangular shaped objects like books and laptops,The Perfect Fit,bottle;water
61,camelbak 2go,the camelbak 2go is an easily detachable waterholding attachment it has a pouch for liquid inside a compartment and with a carabiner to clip onoff backpacks or bags,The Perfect Fit,bottle;water
62,lego bottle,the exterior is like legos and it can attatch to other lego attatchments,Personalize,bottle;bag
63,velcro sleeve,velcro koozie,Attachment,koozie;sleeve
64,arm water,armband that allows user to wear water bottle around arm,Attachment,bottle;water
65,harness button bottle,a harness around your bottle that attaches to two buttons to secure it in place,Attachments,bottle;bag
66,long straw,a cap that has a long straw so user can drink water while bottle is still in pack but can use regular cap when not in pack ,Attachments,bottle;water
67,water bottle bolo tie,a necklace where you slide the string tight around the top of the water bottle,Attachments,bottle;water
68,coozie,a coozie with a clip to keep beverages cold throughout the day,Attachments,coozie
69,hose bottle,a water bottle shaped like a hose that can be coiled in a backpack and drank from like a camelback,Collapsible,bottle;water
70,rubber bottle,a rubber water bottle that cn be squished inside of a pack,Collapsible,bottle;water
71,collapsible canvas,canvas bladder attached inside of rigid collapsible frame,Collapsible,collapsible canvas
72,sparkle top,an attachment cap that allows user to make sparkling water,Personalize,sparkle top
73,bottle holder,a holder that holds several waterbottles so that they fit into a more rectangular shape,The Perfect Fit,bottle;bag
74,donut bottle,donut shaped bottle that can be easily strapped to outside of backpack,The Perfect Fit,bottle;bag
75,space bag bottle,a bag that can be deflated like the ones that are in the boxed wine,The Perfect Fit,bottle;bag
76,neck bottle,water bottle that fits around your neck like those airplane pillows,The Perfect Fit,bottle;water
77,just put a magnet on it,put a strip of magnet on the bottle and on part of your favorite bagother thing that will keep the bottle in place ,Attachments,bottle;bag
78,retractible carabiner attatchment,headphonesdog leash retatractible thing that could attatch to a caribiner so you could either unhook or just pull it hard to get a drink  ,Attachments,thing;drink
79,backpack  pin,a pin that pierces through a backpack strap and holds the bottle neck upright ,Attachments,bottle;bag
80,addition strap ,an addition strap to the side of your backpack solves the issue of water bottles sliding out of side pockets to hold the bottle in place,Attachments ,bottle;bag
81,collapsible w  cup,a collapisble water bottle with a cup attached to the bottom of it ,Collapisble ,bottle;water
82,verticle compress,a water bottle that compresses vertically ,Collapsible,bottle;water
83,book bottle,water bottle shaped like a textbook,The Perfect Fit,bottle;water
84,slide in attatchment ,slide in like a firearm with slide lines that lock in place think nerf gun,Attachments,thing;drink
85,car holder for your h20,this would go on your backpack likely in the side pocket it works like a car cup holder and conforms to fit and hold snug whatever is inside it ,Attachments,car holder for your h20
86,spinny screw,a screw attachment that allows kids to lactch their bottles to their bags while having fun spinning the bottle ,Attachments,bottle;bag
87,pocket aide,adjusable tightener for side pcoket water bottle holder ,Attachments,bottle;water
88,zipper that fanny,a waterbottle that zippers onto a fanny pack similar to a jacket but with a waterbottle ,Attachments,koozie;sleeve
89,anti gravity water sleeve,this material would allow for a water bottle to be attached to any flatsmooth surface and it could be moved without it the water bottle falling off ,Attachments,bottle;water
90,cup bottle,this bottle is also a cup the body has the shape of a cup however it has a water tight lid so that it can be transformed into a bottle this cap allows the cup to be easily cleaned,Attachments,bottle;water
91,collapsible bottle,the body of the bottle uses the concept of an accordian to expand and contract to save space,Collapsible,bottle;bag
92,bracelet bottle,this water bottle is disguised as a bracelet thiere is a hidden door that hides the mouth piece,Personalize,bottle;water
93,reusable bottle exchange,similar to a recycling program but with water bottles families can toss their reusable water bottles into a bin that the city can collect wash and redistribute free of charge,Personalize,bottle;water
94,clip on water bottle jacket,water bottle jacket that can clip onto purse straps or backpack straps for ease of carrying and accessibilty,The Perfect Fit,bottle;water
95,water vest,this vest is actually filled with water there is a straw on the inside of the jacket so that drinking would not feel awkward the straw is removable for easy cleaning,The Perfect Fit,bottle;water
96,pocket bottle,this bottle can be installed on the inside of a jacket near the collar so that you can drink water easily straw is removable for easy cleaning,The Perfect Fit,bottle;water
97,phone case bottle,it’s a phone case that is also a water bottle,The Perfect Fit,bottle;water
98,inside out bottle,this is a water bottle made from a rubbery elastic materal this allows it to be flipped inside out for easy cleaning,The Perfect Fit,bottle;water
99,hand grip water bottle,this water bottle mimics the shape of your hand for ergonomic holding of the bottle,The Perfect Fit,bottle;bag
100,safety bottle,this bottle has a trigger on the handle to let the user drink from it if the user has his or her hands full this bottle allows for easy drinking with one hand,The Perfect Fit,bottle;bag
101,water bag,a plastic bag that has a water nozzle at the top to drink from it can be rolled up when done if so desired when empty it can be flattened to take up little to no space,The Perfect Fit,bottle;bag
102,body suit bottle,this is similar to the water vest however it is form fitting so that it can be used as weight for exercising when the user gets thirsty they can drink directly from the suit,The Perfect Fit,bottle;water
103,rail attachment,similar to how guns have male and female rails for attachments the water bottle can be attached to bags and purses using this kind of rail system,Attachment,bottle;water
104,handle clip,a handle that can be clipped onto water bottle sides for easy carrying,Attachment,bottle;water
