Concept Index,Concept Name,Description,Human Label,Machine Label
11,modular and low cost fridge organizer,based off the ideo shopping cart idea the organizer will mount to a highfriction pad that sits on a refrigerator shelf the high friction pad will have slots for the base organizers the organizers will be made from a cheap and transparent polymer and will vary in sizes the organizers will stackable and will have walls that can get larger to accommodate for larger portions,Convenience,cooling;pot
12,food fly ,the service is a development of the food exchangedonation app the service will deliver food being offered in a manner were a route will pick up food from multiple homes ,Convenience,food;cooking
13,shared grocery list feature: tips on splitting food,the added feature will allow both parties to feel confident that they are getting the proper portions and will also suggest simple ways to store the split food ,Convenience,feature;tips
14,food exchange app safe meetings,the app will suggest local places that are busy throughout the day to foster assurance to users that their safety is guaranteed,Safety,users;food
15,food purchasing guide,this is an app that will use inputed meals to produce a grocery list which describes food quantities by lbs the app will reduce food waste from overbuying incentive is lowering food costs,Convenience,food;waste
16,eco grind,a specialty foodwaste disposal system that grinds things up and automatically packages it for future composting allows users to treat food waste the way they always have but also make a difference by preparing it to be composted,Convenience,food;cooking
17,farm to table waste management incentives,a system that tracks the amount of food lost or wasted from the farms where it is grown to the homes it is consumed in when farmers and transport systems reduce their overall waste they are financially rewarded,Guilt,food;waste
18,smart waste tracking kitchen system,automatically sort food waste cardboard plastics and metals into their respective drawers whilst recording waste amounts ,Convenience,food;waste
19,waste reducing lunch boxes,a physical lunch box with space to sanitarily store food scraps until they can ba composted when the lunch box returns home,Guilt and Convenience,food;waste
20,left over guru (app),an application for finding delicious recipes that require the leftovers you already have to make delicious meals,Convenience and cost,food;cooking
21,substitution suggestion feature,this feature is a development of the list sharing app where users from different background and preferences may establish a common ground things in common when it comes to food shopping for example orange juice could be substituted with citrus juice onion could be substituted with shallots or leeks and raisins could be substituted with dried cranberry or dried currants etc,Convenience,food;cooking
22,custom fees option (delivery service charge),this option should be incorporated into the food sharing app so that it gives an incentive for people with personal vehicles to deliver the giveawayexchange food products ,Convenience,food;cooking
23,partnership collaboration with delivery service companies,partnering with delivery service company like uber eats postmates doordash or grubhub could eases users with the delivery methods because some users may not have personal vehicles or quick access to public transports these delivery service companies may act as a mediator between two users,Convenience,partnership collaboration with delivery service companies
24,good deals alert,this alert will be incorporated into the grocery list sharing app so that users will be notified on the best deals in the nearby grocery stores to eases users their eshopping lists on the app will be updated and they will receive notifications when those specific items go on sale,Convenience,list;app
25,last minutes grab,this feature will be incorporated to the food exchange app where it will notify users about unsold food from nearby vendors and restaurants before they shut down for the day partnering with restaurants and vendors are necessary so that this app helps users get good deals while also prevents additional potential food waste,Cost and Convenience,users;food
26,track my food waste ,another useful feature for the food exchange app is to track and monitor personal food waste so that users could identify and change their sloppy habits this way they can simultaneously saving money on disposing and shopping costs,Guilt and Cost,users;food
27,food related events around me,enabling location access allows users to check all nearby events related to food which helps people gather together and create a community to tackle food waste events like food giveaway volunteering food donations etc,Convenience,food;cooking
28,built in calculator and budget estimator,these two related features are essential in grocery list sharing app so that users can estimate the budget for food shopping before hitting the market and thus it will also be convenient when it comes to budget splitting with roommates,Cost and Convenience,list;app
29,digital wallet,similar to venmo app this feature might be appealing for the grocery list sharing app it lets users make and share payments with friends eases up shopping transaction in addition the feature can link the money receivedpaid straight to users bank account ,Cost ,list;app
30,user badge feature,in addition to ratings putting profile badge for users will further enhance the safety component of the food exchange app there will be three badges newbie someone who has given or requested less than 3 times cub someone who has given or requested 310 times and food hero someone who has given or requested greater than 10 times,Safety,users;food
31,serving size app,a yelp feature that would allow users to describe portion size based on how full they are how much they usually eat and how much they brought home with them,Convenience,feature;tips
32,smart shelf,put your products on a pressuresensitive matt on your self and itll tell you what youre running low on it could also learn your serving size after each use and therefore guesstimate how many more meals you have left with it,Convenience,fruit;products
33,smart pot,enter what food you want to cook in the pot and allow the pot to do the rest of the temperature and cooling control ,Convenience,cooling;pot
34,shopping automation app,set your list beforehand and have you groceries deliverd on a schedule never have to battle sunday grocery lines again,Convenience,list;app
35,smart crisper,smart drawer liners test the firmness of your crisping fruit and tell you when to eat it,Convenience,fruit;products
36,in home lettuce grower,cut out the middle man by continuously growing your own lettuce in your kitchen instead of wasting all the tine and energy of buying it in the store we will design a product that quickly and waterefficiently grows lettuce andor spinach in your own home,Convenience,in home lettuce grower
37,perfect food storage fridge,by redesigning the fridge to show where and how to store foods in relation to each other we can help users reduce waste foods become moldy or go bad more quickly if they arent stored properly the perfect storage fridge would include all the smart technology of a smart fridge at a reasonable cost and also have its own clear and welldesigned storage containers that come with it users can customize the fridge to their liking but well take the guess work our of where and how to store their food ,Convenience,food;cooking
38,automatic food storage device,the appropriate to wash chop and store food is as soon as you get it from the store however very few people have the time or patience to do this activity enter the automatic food storage system this device will take fresh produce and fruits and automatically wash chop and vacuum seal the items in the tupperware you already own all you have to do is feed the items into the device and itll take care of the rest,Convenience,food;cooking
39,eat it? app,take a photo of an item youve purchased including the sellby and useby dates and itll automatically calculate the period of edibility and add it into your icalender,Convenience,eat it? app
40,meal planner app,set your preferred cooking plan your cooking level and your nutrition goals and this app will plan a full week of meals for you once the meal plan is established the app will send you youre shopping list and local deals where you can get necessary items on sale,Convenience,food;cooking
