Concept Index,Concept Name,Description,Human Label,Machine Label
38,light weight linka,this is a cheap 20 version of linka made of rubber it moves into place when ulock is improperly removed preventing bike mobilization long enough for you to reach your bike and prevent thief,slow thief,thief;bike
39,shocking lock,when lock is cut it shocks and burns thief this makes it less desirable for thief to cut,slow thief,thief;bike
40,electronic brakes,brakes engage at the press of a button on a phoneapp this forces the thief to either dismantle the brakes giving you time to intervene or they have to carry bike rather than ride it which slows their theft down,slow thief,thief;bike
41,sharing alarm locks,sharing alarmed lock so that the owner of the lock a company will be notified when a bike is being stolen more shareholders involved,Theft prevention,lock;bike
42,alarm bitlock,the same concept of bitlock using cheaper material loud alarm to tell people that something is being stolen to make the thief afraid,Theft prevention,alarm bitlock
43,car key combined bike lock,using car key to unlock the bike lock give the same alarm as car when thief is trying to steal the bike or even the wheels,Locking process,thief;bike
44,glue trap,when thief is trying to forcefully unlock the lock a glue will come out and stick with the thiefs hand and the owner will be notified,Theft prevention,thief;bike
45,magnet locker,using magnet to unlock the wheel to the frame so that it is unbreakable magnet is not easily breakable,Locking process,thief;bike
46,handle locker,when the bike is stolen a lock can be activated so that the bike cant be turned to right or left,slow thief,lock;bike
47,tire deflater,when the bike is stolen and the wheel is rolling owner will be notified and the tire will be deflated this will make the thief fall down from the bike and owner will have more time to get the bike back,slow thief,thief;bike
48,pedal stopper,when the bike is stolen and the wheel is rolling owner will be notified and the pedal will be stopped this will make the thief fall down from the bike and owner will have more time to get the bike back,slow thief,thief;bike
49,pedal spinner,when the bike is stolen the pedal will spin continuously making it disturbing for the thief to take the bike away,Theft prevention,thief;bike
50,bike lock app ultiple notification,this will notify all bike app owners in the nearby area when a bike is stolen so more people is notified and they can help each other,Theft prevention,lock;bike
