Concept Index,Concept Name,Description,Human Label,Machine Label
28,pressure plate around bed,this mat would act as a pressure plate but only be placed next to the bed  the light can already be on and if you step on the mat it will stay on but if the light is already off when you step on the mat it will turn on,Infrastructure Adapters,light;bulb
29,button panel for wheelchair arm,the panel of buttons would have a secure attachment on the wheelchair and several different channels  bulbs are hooked up to certain channels and when that button is pushed all those lights turn on or off  this allows for little and easy to access interface very little dexterity needed,User-Interface Device,lights;button
30,magnet version for prototype b,this overtheplate cover has magnets inside that flip but the magnets that are placed on the light switches can be customizable making the same cover for every version with the user able to customize the interface,Infrastructure Adapters,switch;switches
31,clip on switch with universal remote,a switch that clips on over existing wall switches that can be controlled with a myriad of remotes including handheld or wearable remotes,Infrastructure Adapters,switch;switches
32,360 degree following rail light,a rail system embedded on the walls of ones living space with a light attached that can follow the user around providing constant lighting in any room they are in,Infrastructure Adapters,light;bulb
33,stick on wireless switch,a wireless switch that can be stuck on any portion of a wall that can be used to control other light switches throughout the users living space,Infrastructure Adapters,switch;switches
34,laser glasses control switch,a laser attachment on glasses that allows the user to look at a light switch or a light bulb in order to toggle it on and off,User-Interface Device,switch;switches
35,breath control switch,a wireless control switch that the user can breathe into to toggle light switches around their living space,User-Interface Device,switch;switches
36,voice controlled switch app,an app with voice recognition that gives users the ability to tell the app which switches to toggle on and off,User-Interface Device,switch;switches
37,blink controlled switch,a set of nightvision cameras that can be set up around a users living space that detects blinking from the user to toggle switches within the room that the camera is in,User-Interface Device,switch;switches
38,light control switch app,a single control switch app that can detect a users position within their living space and then change the switch button to toggle the switches in the room where the user is positioned,User-Interface Device,switch;switches
39,magnetic motion switch,a wearable magnet that the user can place on that toggles switches whenever the user moves past a particular room control switch in their living space,Infrastructure Adapters,switch;switches
40,gun shaped control switch,an ergonomically shaped gun that can control swithces around ones living space with the user pointing the gun at the room switches in their living space,User-Interface Device,switch;switches
41,wheelchair wifi follower,a wifi connected remote that velcroes securely to a wheelchair  the remote would interface with wifi enabled lighting in the home to track the user around the house and turn in and off lights respectively  it has a large single button that when pressed turns off the light in the current room and when pressed and held enables a manual mode when guests are around,User-Interface Device,lights;button
42,airflow tube wifi follower,same concept wifi follower except the single large button is replaced with a breathing tube for users who are fully paralyzed or have no hand motion,User-Interface Device,lights;button
43,light switch face plate sensor,a replaceable light switch face plate that is sensor enabled  it is sleek and round almost like a computer mouse covering the light switch and the whole switch becomes a button that can be manually toggled,Infrastructure Adapter,switch;switches
44,moveable light switch,a simple movable button like the staples that was easy button that can be placed in alternate locations in a room to toggle lights like a nightstand,User-Interface Device,lights;button
45,smartphone app,an app form phone that would control lights  users would be able to tie lights to the app with a single button group lights and operate groups  would be tied to voice controls in the phone for accessibility,User-Interface Device,switch;switches
46,non directional remote,a simple 10 button remote that could be wirelessly set up to operate groups of lights in a users home,User-Interface Device,switch;switches
47,directional point remote,a single button remote that would have to be directionally oriented to point and turn off a light or switch,User-Interface Device,switch;switches
48,light gun,adds an entertainment factor to the directional point remote device is ergonomically shaped like a tactical silenced handgun so users can pretend to move stealthily around their home shooting out lights like in tom clancys splinter cell,User-Interface Device,lights;button
49,light socket adapter,a socket adapter that makes any standard light bulb a smart light bulb with wifi capability,Infrastructure Adapter,light;bulb
50,glasses controller,an app for devices like google glass that allows for operation of lights,User-Interface Device,lights;application
