Concept Index,Concept Name,Description,Human Label,Machine Label
31,futurama vacuum,tube transportation ala vacuum lines maybe this was a problem of safe transportation and leads to thinking the speed of transportation is an issue,Faster Transportation ,Faster Transportation 
32,pufferfish cape,wear a cape which would expand tendrils when approached by unsettlinguncomfortable situation,Personal Security,Personal Security
33,bio luminescent umbrella,shine light around a person giving more safety by bringing more light into an unknown area,Personal Security,Personal Security
34,bio luminescent bangle,lightup jewelry that can shine brightervibrate more when around other students are around creating a safety net for people to surround themselves with,Communal Security,Communal Security
35,personal slides to campus,make transportation more fun and fast by making slides go all over campus to interest points reduce stress by adding fun,Faster Transportation ,Faster Transportation 
36,scheduling,since most robberies happen in a certain time frame at  night not too early or late a scheduling service could help students avoid risky times,Personal Improvements,Personal Improvements
37,ease of use and accessibility,starting with a box design i determined that the product should be easy to operate under stress and also accessible to most of the student population,Personal Security,Personal Security
38,surroundings alert,lack of awareness can often increase risk of robbery and so a wearable that could augment awareness could help combat visibility issues at night,Personal Awareness,Personal Awareness
39,increasing movement speed,with increased movement speed students spend less time in transit and also are a more difficult target,Personal Security,Personal Security
40,street guide,map areas where more criminal activity tends to happen then find trends and characteristics of such areas to attempt to avoid or fix,Personal Security,Personal Security
41,camouflage,tries to mask sound and visibility of students moving through campus to not draw unwanted attention,Personal Security,Personal Security
42,activity map,anonymously track student locations to create a heat map to help users avoid more barren areas,Communal Awareness,Communal Awareness
43,safe points,have certain points on and off campus that provide an accessible safe location to get out of uncomfortable situations,Communal Security,Communal Security
44,smart street lighting,many parts of berkeley both on an off campus can be  poorly lit furthermore sensors can be integrated with street lights to provide real time info about safety conditions,Communal Security,Communal Security
45,community cohesion,stronger community bonds generally lead to decreased criminal activity but this is often difficult with the quick turn around times of student housing,Communal Security,Communal Security
46,students parties shuttle,on the weekends provide an extra optional service to students allowing them to rent a shuttle and go safely to sf nighlife,Communal Security,Communal Security
47,uc shared route,a featureapp which shows where students going  and allows them to join it,Communal Security,Communal Security
48,uc sharing rides meetpoint,create some official uc meetpoints to students share their rides  safely,Communal Security,Communal Security
49,express campus,in rush time provide nonstop ac transit buses from uc berkeley  sf,Communal Security,Communal Security
50,fast stairs,as in airports provide huge stairs between main buildings in uc campus,Communal Security,Communal Security
51,uc hub,a hub in campus to split students to their destinations in the best modal metro bus bike skate etc,Communal Security,Communal Security
52,skate sharing,as a bike sharing system provide skates sharing to students,Communal Security,Communal Security
53,networking sensor,a sensor plugged in cal id which can provide all details linkedin facebook instagram email about people that you across in the campus geolocalization,Communal Awareness,Communal Awareness
54,uc drones guard,a openchannel to students watch the images around the campus before go to somewhere  goal  safety,Communal awareness,Communal awareness
55,car sharing,a zap cars model but thinking just on berkley demand  perimeter,Communal Security,Communal Security
56,noising street lamp ,when users feel unsafe they can press a button in some kind of app which associates campus lamps together into a network to make the nearby street lamp raise the alarm ,Communal Security,Communal Security
57,campus cable car,build certain cable car lines between two buildings and make them into a network to commute people in a certain route besides it can also become a good way to sightsee,Communal Security,Communal Security
58,identification ,when people enter the campus scope there are some virtual access control system to identify visitors,Communal Security,Communal Security
59,mobile guard station ,when users feel unsafe they can use this app to call the nearby guard station who will work 24 hours to come to help them and the app will record users realtime address,Communal Security,Communal Security
60,invisible man,gaining inspiration from chameleon users can wear a kind of cover to hide in the dark,Personal Security,Personal Security
61,route condition forecast,its an app that can show the following immediate image of the way based on the users setting routes to avoid danger,Personal Security,Personal Security
62,odour protection ,learning from skunks users can bring a sort of portable container that store scent once opened other people will flee away,Personal Security,Personal Security
63,mobility scooter,the mode of operation seems like bike sharing  whereas it can include some extra services like recording routes and safe route recommendations which is based on the date it gathers in each ride,Faster Transportation ,Faster Transportation 
64,signal detonator providing ,users carry some kind of thing that the function is just like the signal detonator and these products are provided in every building that is all user can take and return if not using it in the same place,Communal Security,Communal Security
65,in time service ,by including the attribute of showing up immediately users will get help once they trigger the service when they are in danger or potential danger,Communal Security,Communal Security
66,alternative methods,provide various methods for our customers to keep safe1bicycle sharing 2 night car service,Personal Safety,Personal Safety
67,services listing,make a list of all the services that we want to provide for our customers and choose 5 which are the most important,Personal Awareness,Personal Awareness
68,bicycle umbrella,provides shelter for rainy days,Personal Safety,Personal Safety
69,bicycle sharing,oncampus bicycle sharing system free,Personal Safety,Personal Safety
70,special clothes,wear special clothes to make yourself hard to be noticed,Personal Safety,Personal Safety
71,poster for bicycle sharing,main selling points1 cheap 2convenient 3not much to commit 4safe,Personal Awareness,Personal Awareness
72,route recording,the bicycle can also record the route that the user usually use and provide safety advises,Personal Awareness,Personal Awareness
73,alarm for crime,watch that shows the potential crime possibility at that time,Personal Awareness,Personal Awareness
74,porters lodge,safety stations that scatter around the campus area provides 24 hours safety protection and life guidance,Communal Security,Communal Security
75,time recording on the bicycle,keeping record of users location and time they used to get home make sure all users reach their destination in a right timing,Personal Security,Personal Security
