Concept Index,Concept Name,Description,Human Label,Machine Label
62,are you confused?,a wearable product that identify similarly confused people and pair the user and another user up form study groups social groups,connection service,people;user
63,me,a doll with mobile sensing that speaks for its owner represents the owner works best for introverts and makes friends for its owner connects with other dolls,physical product,line;analogue
64,slogan cup,drinking cup with individualized slogan  personal info printed on the cup icebreaker cup,physical product,info
65,find my friends 2.0,similar to find my friends on iphone but designed more oriented around berkeley campus resources and location,Crowd sourced data,app;campus
66,question headband,short phrase displayed on this headband that pose quick questions to people around the user and therefore invites people with similar invites to complete similar tasks,connection service,people;user
67,slang spectacle,helps users learn slang words and phrases has a database like a slang dictionary,Language Services,users;application
68,community updates,wearable product that feeds community news about events alerts etc,Crowd sourced data,community;events
69,party map,live map about ongoing parties around the community and details about attendants,Crowd sourced data,community;events
70,name tag,displays personal info on the tag and connects users in the same area with similar interests,connection service,users;application
71,info drone,personal pet that does all the walking detecting and socializing for the user when the drones get to know each other the users can eventually become friends because the drones are interacting,Connection Services & Physical Product,users;application
72,drama queen ,a ring that buzzes when you walk past a event party gathering of people you know share similar interests,physical product,people;docks
73,contact,contact lenses that take pictures when user blinks so that they can capture images that the users was confused about interested in or thought were important,Physical Product & language service,users;application
74,recording translation pen,a pen that records voice video and translates materials upon users request and buzzes when different users have similar questions and makes a connection among those users,Physical Product & language service,users;breaking
