Concept Index,Concept Name,Description,Human Label,Machine Label
22,sound processing,watch the online video and use a sound processing machine to imitation the professorês voice let students have a feeling that their teachers are by their side and coach them,Better treatment,Better treatment
23,resource sharing,we all know hospital have electronic medical record to record patient situation but not share to other hospitals if we connect these hospitals together doctors can view patientês situation more comprehensive,Better treatment,Better treatment
24,real  time feedback from doctor to patient,as i mentioned above not only should we establish a information shared system between hospitals but also inform information to patients in this case we can use a mobile sensing machine to send realtime feedback about his physical condition,Receiving ,Receiving 
25,real  time feedback from experienced doctor to inexperienced patient,inexperienced doctors can sent realtime video to experienced doctors to get guidance,Receiving ,Receiving 
26,coach more students at the same time,usually when doing experiment teachers canêt viewing all studentsê operation at the same time and give feedback using some mobile sensing machine doctors can remote viewing all students at the same time and tell ta which one should be guided,Practicing ,Practicing 
27,communicate,using mobile sensing product medical students can watching teaching videos and discuss with partner about the problems in long distance,Practicing ,Practicing 
28,master knowledge,more communication about the problems inexperienced doctors will more understand the medical knowledge,Learn better,Learn better
29,frontier knowledge,once students get the information about the latest news and technologies upload the information to the communicated system to share the frontier knowledge to others,Learn better,Learn better
30,practice better,get more guidance from the experienced doctors inexperienced doctor will be more skilled,Learn better,Learn better
31,seeing through,many peopleês home are far away from hospitaland it may take much time to get to itthrough this methods you can always get firstaid from doctors,Better treatment,Better treatment
32,scanner,when you are having some pain but donêt know whatês going on it can scan you and give you feedback of your body,Better treatment,Better treatment
33,learning far,too many people around one table that you canêt see the professor or whatês going on clearlythis can help you learn alone whenever and wherever,Receiving---Case Study,Receiving---Case Study
34,monitor,professor can see whatês going on through a glasses on your eyes on his own computerno need to gather together,Practicing---Hands-on,Practicing---Hands-on
35,glass remembers,sometime itês hard for students to remember something we create this to help you reference easily,Remembering,Remembering
36,invisible exercise,its like doing an experiment or exercise via visual screen provided by the sensing,Practicing,Practicing
37,seeing through 2,doctors can record their treatment as a case study for students by sending the things on the icloud,Receiving,Receiving
38,real time feedback,by using this kind of book or some ipads while youêre studying or marking on your book teachers can point out whatês going wrong,Receiving,Receiving
39,fly eyes,professor wear a kind of glasses that has several aspects like the eye of a fly that he can see many screen showing on the same time which helps reducing time waste,Practicing---Perceiving,Practicing---Perceiving
40,google it!,theres a google searching picture on the front we create a database like google that contains all the cases that medical students may want to search for information,Receiving,Receiving
41,glass remembers 2,when wearing this glasses itês like a camera that can capture everything that your eyes see and store it,Remembering,Remembering
42,another you,its like another visual you that shows all your physical health scanning by a sensing product that helps you find out the potential problems in your body,Better Treatment,Better Treatment
43,connect us!,patients just need to write down their symptoms on the computer and many similar cases and treatments will come out from the computer so that you can prejudge yourself,Better Treatment and Receiving,Better Treatment and Receiving
44,learning from seeing,heres a computerlike product that whatever you see or learn will have a picture shown to you so that you can understand and remember it quickly and clearly,Remembering and Receiving,Remembering and Receiving
45,real body,medical students may find it hard to try some real exercise on their own and they might not know whatês the name or proper names of every parts this body can reflect every parts when you touch it and it will speak out to show you the meaning or descriptions of it,Receiving,Receiving
46,community based content creation,through a very easy to use capturing device users can make available online what they see and experience this would be especially helpful for educational purposes where students can learn from different practitioners,Better educational content ,Better educational content 
47,live video streaming ,through a similar capturing device content creators can broadcast their experience online so that users can tune in and experience what the users are experiencing ,Better educational content ,Better educational content 
48,real time instruction,users who use a capturing device can share the video footage with another users and the viewers can instruct or provide feedback to the device users realtime that is especially important for remote coaching  ,Better educational instruction,Better educational instruction
49,remote diagnosing ,a patients family member can wear a capturing device and share the footage with a connected doctor so that distance is not a barrier to good treatment ,Remote medical services ,Remote medical services 
50,relive the moment,through a headmounted video capturing device users can revisit a moment that will be very beneficial when it comes to reviewing learning materials ,Better educational tools,Better educational tools
