Concept Index,Concept Name,Description,Human Label,Machine Label
44,smart shoes,sensors within the shoe help the blind detect perturbations in the ground,Outdoor,device;user
45,indoor personal guide,users tap their phone on nfc reader upon entering a space and get information anounced through alexa of the surroundings,Introspection,phone;reader
46,compact white cane,a retractable white cane that can operate effectively using sensors even when collapsed,Outdoor,cane;surface
47,phone cover with tactile output,blind can use braille output to understand what is on screen seeing can use braille output to check if there are notification while phone is in pocket,Phone Tech,device;user
48,stain detector,device uses blacklight to reveal stains invisible to even the seeing on a basic level can also be used to identify normal stains,Home-Eyes,device;user
49,traffic signal detector,device that helps blind people identify when it is safe to cross a junction seeing users on their phone can also use this device when at crosswalks,Outdoor,device;user
50,compact spice box,box stores away spices when there is limited display space on voice input the desired bottle is outputted from the box useful for seeing users who struggle with storing their spices and blind users who cannot identify spices,Home-Eyes,device;user
51,front door detector,front door camera that recognizes faces or particular rf codes to confirm who is at the door,Home-Eyes,device;user
52,individual navigation,device that lets you navigate to a particular personindividual can be useful in crowded spaces,Outdoor,navigation;safety
53,modular braille attachment,accessory that can act as an easy to read braille screen,Display,braille
54,medicine storage,device that stores and dispenses pills,Home-Eyes,device;user
55,smart shades.,a pair of sunglasses that can recognize people staircases sidewalks,Outdoor,cane;surface
56,braille credit card,credit card that has braille s to make it easy to read for visually impaired,Outdoor,braille
57,smart scanner,scanner on doors that can detect when someone or something enters the room it can be used to help orient and navigate for the blind within buildings or keep track of your devices,Introspection,device;user
58,home alert,iot device that checks if doors and windows appliances and lights off,Home-Eyes,device;user
59,bills made easy,app or device that can easily readprocess bills such as utilities and credit cards if in paper form or can consolidate them easily for the visually impaired to access,Phone Tech,device;user
60,don't forget!,small device that you can clip on an item if you accidentally leave the item and walk away it buzzes you also if you cant find an  object it will buzz to help you find it,Home-Eyes,device;user
61,cane detects slippery surfaces,cane that detects changes in coefficient of friction,Outdoor,cane;surface
62,audio distortion for facial expressions,modify audio of speaker to reflect facial expressions,Phone Tech,cane;surface
63,tactile markers for steps,helps indicate first and last step so we dont trip and fall,Outdoor,cane;surface
64,door indicator,communal living is tough when everyone isnt on the same page,Home-Eyes,object;indicator
65,necklace that detects facial emotions,blind people rely on auditory cues for emotion,Wearables,cane;surface
66,heat braclet that reflects time of day,the blind cant sense ambient light daynight cycles,Wearables,cane;surface
67,depth map glasses,two cameras for stereo vision converts stereo vision to tactile surface on forehead or under eyes ,DisplayWearables,cane;surface
68,ugly guide dog ,special breed of dog that does not look cutepetable,Bioengineering,dog;guide
69,bionic eye,uses crispr to create a humanelectrode interface that produces good results and low risk of complicationsscarring,Bioengineering,device;user
70,discrete vertical cane,thin transparent rigid discrete cane for detecting objects above,,cane;surface
71,map tracking,discreet safety tracking that detects if youre going the wrong way for uber etc and buzzes w trouble,Phone Tech,navigation;safety
72,ultrathin cane,super thin and lightweight cane similar to a fencing sword stylish and modern,Outdoor,cane;surface
73,reflective cane,a cane with a reflective surface like that of bikers to keep people safe in the dark,Outdoor,cane;surface
74,necklace wearable,wearable around ones neck that looks like a bluetooth deviceheadphones that provides both sound and directional navigation,Wearables,navigation;safety
75,smart table,table that has a tactile surface that pops up according to digital displays,Display,cane;surface
76,ring notification,ring that commands your phone to read you notifications single hand usage,Wearables,phone;reader
77,phone photo zoom,app that automatically adjusts a photo for max reading clarity meant for the visually impaired to be able to zoom in on text,Phone Tech,device;user
78,mood sense,tangible palm sized item that detects color inputs and outputs a tangible reaction for the entirely blind to experience mood from an environment,Display,device;user
79,tangible home control system,trackpack that changeshome settings like temperature and light via gestures,Introspection,cane;surface
80,immersive environment,a responsive floorenvironment that guides the user via collapsing grass or trembling tiles can also be used for retail experiences,Introspection,device;user
