index,Concept Name,Concpet Description,Human Label,Machine Label
48,user friendly ,the ui should be easy and friendly for ordinary people especially for children elder people and disabilities,user interface,user friendly 
49,3d printing av,manufacture the autonomous vehicle by 3d printing technology,efficiency,vehicle;vehicles
50,pedestrians identification,the car can identify pedestrians using sensors and lidar,safety,car;cars
51,identification system for cars and pedestrians,the car can detect and identify carrs motor bike and pedestrains,safety,car;cars
52,floating on water,the car can float on warter instead of sink in to the water,safety,car;cars
53,traffic rules monitor,the car can detect and identify traffic signs and signals to avoid violate traffic rules,safety,car;cars
54,passenger monitor ,if a certain passenger has a heart attack or something like this the car can report and call 911,safety,car;cars
55,slippery warning,the car can calculates how bad and frequent the car has minislip in the rain or snow then the car wanrs the driver to slow down or stop for a while,safety,car;cars
56,speed limit enforcer,the car collects data of speed limit in every possible road and adjust the autodriving to follow the speed limit,safety,car;cars
57,intelligence report,the car can report emergency automatically,safety,car;cars
58,anti theft system,the car will autonomatically send the location to the police department if it got broken into,safety,car;cars
59,outside airbag,there are airbags on the outside of the car to protect the car from collision,safety,car;cars
60,road condition identification ,when meeting bad road conditions the car can avoid it automatically,safety,car;cars
61,porpuse light signal,the car should use signal light on the car to indicate its purpose,safety,car;cars
62,outside airbag,the car has airbag outside of it when the car crush pedestrians teh airbag can protect pedestrians,safety,car;cars
63,connected autonomous vehicles,this is away to physically have two vehicles at random connect together based on a common path theyre taking to improve energy efficiency,avoid traffic congestion ,windshield;vehicle
64,friendly interaction with pedestrains ,when the av stops at a cross or stop sign it should brake previously so the pedestrain would not be threatened,safety,vehicle;vehicles
65,multiple satellite positioning ,the car can combine the location signals from several satelite oistioning systems lile gps and beidou,localization and positioning ,car;cars
66,sticker localization,the can recognizes specific stickers put on the streets the sticker acts like a qr code which gives the global location the car then calculate its position relative to the sticker,localization and positioning ,car;cars
67,auto mapping ,the car identify and record some places and combine it to the map then it can localize itself later,localization and positioning ,car;cars
68,sleep mode,avs window would block all the outside light vehicle would wake user up when the vehicle arrive destination,comfort and convenience,vehicle;vehicles
69,human power mode,user can generate power by pedaling when the vehicle runs out of energy this can be a back up generator ,comfort and convenience,vehicle;vehicles
70,rising footrest,the floor holding the gas and brake pedals can rise up to be a footrest during autonomous functions,comfort and convenience,vehicle;vehicles
71,brain vehicle link,user can command the vehicle with brain wave and helmet,comfort and convenience,vehicle;vehicles
72,transformers,the vehicle can transforms into robotics and get across obstacles,comfort and convenience,vehicle;vehicles
73,gps; lidar and camera fusion,safety is one of the biggest concerns from potential users gps lidar and camera fusion enable the av to jave more accirate localization and positiong which enhances users safety,safety,windshield;vehicle
74,night vision,the windshield is able to increase the outside brightness via image processing ,safety,windshield;vehicle
75,auto rerouting ,cars can recive the traffic report from other cars automatically if a congestion is about to happen the system will automatically reroute the approaching cars,avoid traffic congestion ,passengers;cars
76,traffic light data sharing,the car interacts with traffic lights around the city the traffic lights have sensors to detect heavy traffic or road construction then the car recalculate the optimal route,avoid traffic congestion ,passengers;cars
77,avoiding traffic jam,the av must be able to recognize the traffic jam in the route and change route plan autonomously to avoid traffic jam,avoid traffic congestion ,passengers;cars
78,connected grid,all autonomous cars are connected so the traffic flow is optimized by themselves instead of traffic lights,avoid traffic congestion ,passengers;cars
79,a full view for passenger,the car has a transparent car cabin,comfort and convenience,car;cars
80,auto following,for a motorcade the car can follow the car in front of it automatically,comfort and convenience,car;cars
81,self cleaning,the car can wash and clean itself,comfort and convenience,car;cars
82,self diagnose,the car can find and locate some small problems of  itself,comfort and convenience,car;cars
83,flying cars,the car can fly to avoid traffic jam,comfort and convenience,car;cars
84,disability accessable,the car has a slope so the disnables in wheelchair can board the car with the slope,comfort and convenience,car;cars
85,solar panel on the top,the solar panel on the top can collect solar energy and store it in the battery,efficiency,windshield;vehicle
86,alcohol reading for manual driving,the car will read the alcohol level of the driver if the driver wants to switch to manual mode,safety,car;user
87,user owner face recognition,the car can identify the user by using face recognition based on stored pictures not limited to 1 person,safety,car;user
88,charging facilities connection,the car knows the location for every charging facilities it will warn the user if the destination does not have any charging facilities nearby that reachable with the remaining fuel,safety,car;user
89,self diagnosed,the car diagnosed itself on daily basis if something wrong is detected the car warns the user through the phone to check some specific parts of the car,safety,car;user
90,affordable car,an autonomous vehicle should be affordable for ordinary people,affordability ,car;cars
91,pedestrain indicator,cars can recieve the cell phone signals from pedestrains who are about to cross the road and slow down accordingly,safety,passengers;cars
92,surrounding screen dome,the car turns the inside surrounding into screen which becomes similar to vr,user interface,car;cars
93,location shared app,the car has an app that can share its location most like uber but more personal for example sharing it to family members you want to pick up somewhere,user interface,car;cars
94,tutorial system,the car provides interactive tutorial system on every possible features,user interface,car;cars
95,favorite place markings,the car can record the marked favorite places like work retaurants uncles house etc,user interface,car;cars
96,voice prompt system ,when meeting pedestrians it can report the trend of the car by voice prompt,user interface,car;cars
97,the talking car,a signboard  a speaker system to communicate to pedestrians and other cars,user interface,car;cars
98,rc   autonomous,the user should have the ability to call the vehicle from miles away using his phone,remote control,vehicle;vehicles
99,ar & autonomous vehicles,the augmented reality can show the chosen path of an autonomous vehicle helping the other interact with it,user interface,vehicle;vehicles
100,voice human machine interaction,autonomous vehicle driver can use voice to iteract with av and send command to av,user interface,vehicle;vehicles
