index,Concept Name,Concpet Description,Human Label,Machine Label
43,self heal,the software can heal any errors or problems on its own without any human help,ai and machine learning,software;users
44,smart designing,the software tells you which design or material would be better taking into consideration boundary conditions,ai and machine learning,software;users
45,design + manufacture,the software tells you if the design can be manufactured based on the machinery you have,ai and machine learning,software;users
46,automatically fixing error,the software can automatically fix the drawing error,ai and machine learning,software;users
47,natural environment,see how your product looks in natural setting,ar/vr/gr & haptics,
48,allow user to join,allows user to ojoin parts using haptics and vr,ar/vr/gr & haptics,user;users
49,animation generation,allows user to see the product in motion to build design flaw,ar/vr/gr & haptics,user;users
50,use before you make,allows user to use the design before making it to build flaws,ar/vr/gr & haptics,user;users
51,virtual reality,allows users to be inside the design,user interaction,user;users
52,custom menu bars,allows users to alter structurelayout of menu bars high level of customisability easy to remember allows multiple menuaccess templates allows users to design their own menus,user interaction,user;users
53,notifications alerts,alerts user of certain tasks or if simulations complete users can customise whenwhat alerts to receive allows alerts to push to phone if user is away from desk,user interaction,user;users
54,online helping,when design errors stop users to keep drawing in the software online helping feature could solve the problems by operating users computers,in-built help feature,software;users
55,making learning easy,the software comes with a learning package which includes books  videos on how to use the software,in-built help feature,software;users
56,learning tools,the software should have an inbuilt selfsufficient help guide,in-built help feature,software;users
57,animation tutorial,adding animation tutorials in the software help users to have a better understanding through visualization ,in-built help feature,software;users
58,online product tutorial,online product tutorial is the video record files that help users and customers to learn how to use the software ,in-built help feature,software;users
59,no supercomputer required,simulation can run on a basic laptop,improving efficiency and power,simulation;scanner
60,haptic designing,has a haptic system which allows you to feel the surface  material of design,ar/vr/gr & haptics,design;projects
61,discount package+ free education packag,by comparing our software development time we can reduce the software development costs we could then provide discounted or fee packages,costing,software;users
62,auto data mine,software can autosearch and categorise cad files of related models extact and learn about shapesdata related to the models saves users from manually computing each model,automation,software;users
63,iteration manual override,user choice of automatic iterations carried out by software user can interrupt with stop at any time to terminate or pause andor conduct manual override,automation,software;users
64,smart optimization,the software can automatically optimize users design to satisfy users requirements,automation,software;users
65,smart efficiency management,software can auto adjust processing power requirements based on your multitasking eg draw less power if you are running multiple programs,improving efficiency and power,software;users
66,suggestions,an ai infused version suggests changes to your design to optimize it,in-built help feature,design;projects
67,periodic online survey,periodice online survey is a method to periodically collect users and customers feedback so that the software can be updated frequently and timely,external help,software;users
68,live chat,live chat is a easy way to communicate with customers an users without leaving software website live chat helps to answer customers questions immediately,external help,software;users
69,drawing on touch panel,the software contains a touch panel version for users to draw their design by hands instead of using mouses,user interaction,software;users
70,software adapting symbols,each has different symbols on different software select which you are familiar with,user interaction,software;users
71,software adapting hotkeys,have oen gui but allow users to select which hotkeys of a particular software they are familiar with,user interaction,software;users
72,familiar shortcuts,software should aim to use familiar shortcuts and hotkeys as other conventional design softwares,user interaction,software;users
73,file sharing ,allows you to share files across devices with ease,file/device integration,file;files
74,multiple file support ,allows you to integrate and use various file type without the need of converting,file/device integration,file;files
75,talking interface,an interface which tells you rather than show you to increse interaction and experience,user interface,software;functionality
76,integrated graphics interface,provides graphic design panel with the optimisation software to allow editing and rendering of colours etc helps engineers to visualise a potential final product,user interface,software;functionality
77,ai to judge manufacturability,judges manufacturability of a design and makes alterations on its own,ai and machine learning,design;projects
78,mobile app ,compact functionality version suitable for portable use run on mobiles and tablets,targeted markets,software;functionality
79,camera system,the software has a camera system to generate design drawing by taking photographs,design recognition (image recognition),software;users
80,reading paper sketch ,the software can generate a drawing by scanning a paper sketch,design recognition (image recognition),software;users
81,face recognition security,the software has the ability to recognize the human face for document security purposes,design recognition (image recognition),software;users
82,minimum installation package size,increases speed while installing the software,installation,software;users
83,ai generated baseline cad,no input cad model required just select from a preset design,ai and machine learning,cad;functions
84,automatical optimization function,the software provides automatical optimization function taht helps customers to ideal product model under given boundary conditions,automation,software;functionality
85,gesture recognition,users can use gesture to assemble the components together,ar/vr/gr & haptics,file;files
86,self servie management,selfservice resources are posted online to provide support information to customers,in-built help feature,file;files
87,same ui for different function,keep the same ui for different departments like animation etc,user interface,function;curve
88,easy edition,the drawing and assemblies from other types of software can be directly editied in our software,easy to use,software;users
89,small file storage,software files do not occupy a lot of space,easy to use,software;users
90,files conversion,software can conver file types,easy to use,software;users
91,multi function support,importexport and support for multiple file types among devices provides smoother learning curve with familiar experiences,import functions,function;curve
92,device integration,using cloud computing or network solutions to allow transfer of work across all platforms bluetooth file dropping and model sharing,file/device integration,software;functionality
93,3d printer,allows user to 3d print the optimised design aids visualisation and can help to determine the manufacturability support for printer connectivity,export functions,user;users
94,visualization of ann,a more intuitive ui and shows you the actual interations the ann makes visual interface live,user interface,simulation;scanner
95,website,website  upload cad designs  name functions  get optimized design,external help,cad;functions
96,timed challenge,make people learn the software through timed challenges to complete,learning the software games,software;users
97,tutorial game ,tutorial to teach the software an online game to complete against other tutorial users,learning the software games,software;users
98,practice problem gaming,the software sets up the practice problem for the users to play the game so that they can know how to use the software,learning the software games,software;users
