Concept Index,Concept Name,Description,Human Label,Machine Label
80,geographical or monitoring station,to monitorÿchanges in the ecosystem through a series of observations useful for oceanography ,Secondary Function,signal;module
81,sea creature watcher,onboard videocamera records whats going on below the surface showing marine animals in natural habitat,Secondary Function,water;ocean
82,rain catcher,catches rain to contain a fresh water supply for lost travelers,Secondary Function,water;ocean
83,battery tracker,tracks data about buoy,Buoy Data,tracks;data
84,energy consumption,tracks data about buoy,Buoy Data,tracks;data
85,maintenance report,tracks data about buoy,Buoy Data,tracks;data
86,internet performance,tracks data about buoy,Buoy Data,tracks;data
87,buoy to buoy communication,buoys farther from land can steal wifi from nearby ones if they are too far from original signal,Buoy Data,signal;module
88,gps coordinates,tracks data about buoy,Buoy Data,tracks;data
89,time in field alert,automatic notifications when buoy lifetime expectancy is approaching,Buoy Data,time;lifetime
90,emergency alerts,automatic notifications when buoy lifetime expectancy is approaching,Buoy Data ,time;lifetime
91,user input,have users say where they want buoys most,Buoy Data ,signal;module
92,digital readout ,a digitial interface with important information display ,Buoy Data ,signal;module
93,critical component check,have a way to send an alert if critical components fail such as if a shark bites into the pipe,Buoy Data,signal;module
94,solar performance,a readout of the input of the solarpanles or a input power readout ,Buoy Data,power;powers
95,thermometer,collects information on ocean temperatures in different locations at different times,Secondary Data Collection,water;ocean
96,ocean movement,tells how much the ocean is moving on a given day,Secondary Data Collection,time;lifetime
97,weather report,provides information on what the weather is like at that time in that area,Secondary Data Collection,time;lifetime
98,browser history,sell user data,Secondary Data Collection,tracks;data
99,wind speed   direction,useful for sailors to know this info before going out,Secondary Data Collection,water;ocean
100,array network,use an array network so that the signal is spread over multiple buoys from 1 location,Secondary Data Collection,signal;module
101,health of the ocean monitoring,collects information on various ocean health measures,Secondary Data Collection,water;ocean
102,activity tracker,using a tracker to find internet activity such as a social network or videos to find and locate demands of users ,Secondary Data Collection,signal;module
103,a signal light ,to help saliors find there way during nighttime or storms,Secondary Data Collection,motion;shark
104,shark repellant,make swimming safe again,Secondary Data Collection,motion;shark
105,migration patterns,collect data on migration patterns of sea creatures,Secondary Data Collection,signal;module
106,sponsor ads on buoy,sponsors allowed to put stickers physically on buoy,Pricing / Revenue Generation,signal;module
107,sponsor ads on internet,sponsor name pops up in internet browser saying powered by,Pricing / Revenue Generation,signal;module
108,public service,get government funding for the public service,Pricing / Revenue Generation,motion;shark
109,users pay,have users pay for access,Pricing / Revenue Generation,signal;module
110,beach business sponsor,local businesses offer wifi password with certain purchases,Pricing / Revenue Generation,signal;module
111,buoy advertisments,advertise on tv internet newspapers that you can buy this buoy,Pricing / Revenue Generation,signal;module
112,ferry boat complimentary wi fi,ferries offer complimentary wifi to passengers as leg up on competition rather than lowering prices,Pricing / Revenue Generation,wifi;wi
113,partner with gopro   fitbit,allow cloud storage for go proers on the ocean,Pricing / Revenue Generation,water;ocean
114,partner with amazon (drones),drones capture video footage of surferssailors that they can later purchase,Pricing / Revenue Generation,signal;module
115,sponsorship balloon,sponsors pay for buoy and get to attach balloon advertisements to buoy,Pricing / Revenue Generation,signal;module
116,beach equipment,shacks on the beach selling surfboards and snorkeling equipment can provide wifi password to customers,Pricing / Revenue Generation,wifi;wi
117,internet providers,internet providers like comcast offer ocean coverage to customers,Pricing / Revenue Generation,signal;module
118,cruises,cruise lines can advertise free wifi as a perk to customers,Pricing / Revenue Generation,wifi;wi
119,snapchat geofilter,people want to send snapchats from the middle of the ocean,Pricing / Revenue Generation,people
120,google partnership,similar to how google sponsors wifi in starbucks,Pricing / Revenue Generation,wifi;wi
