index,Concept Name,Concpet Description,Human Label,Machine Label
71,integrated graphics interface,provides graphic design panel with the optimisation software to allow editing and rendering of colours etc helps engineers to visualise a potential final product,user interface,software;optimization
72,software adapting symbols,each has different symbols on different software select which you are familiar with,user interaction,software
73,website,website  upload cad designs  name functions  get optimized design,external help,design;cad
74,gui,packaging of morphing software using a visual graphic based gui expresses weight settings and definition visually,user interaction,packaging;definition
75,cui  pure text,packaging morphing software using a text based cui weight setting and definition by coding andn text entering,user interaction,packaging;definition
76,smart efficiency management,software can auto adjust processing power requirements based on your multitasking eg draw less power if you are running multiple programs,improving efficiency and power,software;users
77,high compatibility,the software can run on all types of computer systems,compatibility,software;package
78,multiple compatibility,multiple compatibility help morphing software to operate on different types of computer systems,compatibility,software;package
79,virtual reality,allows users to be inside the design,user interaction,
80,face recognition security,the software has the ability to recognize the human face for document security purposes,design recognition (image recognition),software
81,same ui for different function,keep the same ui for different departments like animation etc,user interface,
82,free trials,the free trial is for a limited period of tie to let users experience the softwre,costing,users;customers
83,simple installation,easy installation process  does not require extra attention or actions simply approve installation and it will do the rest,installation,
84,automation,software can automorph autocreate a design from scratch,ai and machine learning,design;software
85,smart designing,the software tells you which design or material would be better taking into consideration boundary conditions,ai and machine learning,design;software
86,design + manufacture,the software tells you if the design can be manufactured based on the machinery you have,ai and machine learning,design;software
87,haptic designing,has a haptic system which allows you to feel the surface  material of design,ar/vr/gr & haptics,
88,self servie management,selfservice resources are posted online to provide support information to customers,in-built help feature,
89,easy edition,the drawing and assemblies from other types of software can be directly editied in our software,easy to use,drawing
90,animation tutorial,adding animation tutorials in the software help users to have a better understanding through visualization ,in-built help feature,software;users
91,manufacture simulation,allows users to see possible manufacture processes for the new optimised design provides visual process and step breakdown helps determine manufacturability,file/device integration,users;user
92,ai generated baseline cad,no input cad model required just select from a preset design,ai and machine learning,design;cad
93,iron man hologram simulation,simulation shows the working via a hologram walk into your simulationmodel make changes with a controller,ar/vr/gr & haptics,simulation;visualization
94,social media support,social media is a place to help users and customers to share their using experiences and post their thoughts and ideas,external help,users;customers
95,augmented reality ui,simulate in augmented reality see a train undergoing a simulation in your living room,ar/vr/gr & haptics,
96,automatical optimization function,the software provides automatical optimization function taht helps customers to ideal product model under given boundary conditions,automation,software;optimization
97,minimized analysis time,the software uses artificial neural network to analyze results during the simulation process,improving efficiency and power,software;optimization
98,allocate processing power,a system which allows you to allocate the computers ram to a particular required computational power threshold by the software,improving efficiency and power,software;optimization
